amp,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
0.722548427708419,8,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.58140886731253,8,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.673808092517639,8,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.703865557365238,8,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.971856921641526,9,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.668916946051478,9,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.475827666824187,9,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.603716300661407,9,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.573988690320813,9,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.541460930401805,9,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.608689894667963,9,2,7
0,0,0,0
0,0,0,0
0,0,0,0
1.07462901636424,9,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.769180717441153,9,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.649354368804606,1,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.677926343620977,1,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.634561260481299,1,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.243844085223757,1,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.76922034853694,1,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.531335128488844,1,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.42490032405566,1,3,7
0,0,0,0
0,0,0,0
0,0,0,0
0.677891019331047,1,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.86937909070887,1,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.6489600384576,2,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.541378135299654,2,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.578712877730092,2,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.230508641143655,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.840159948712006,2,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.492644806184942,2,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.288729257967158,2,3,7
0,0,0,0
0,0,0,0
0,0,0,0
0.506595059702246,2,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.741236544625649,2,3,9
0,0,0,0
0,0,0,0
0,0,0,0
