base,ROI,position,subject
-0.0301061848730822,7,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.138974245862992,7,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.0573429995220648,8,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.369480586869694,8,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0713651861233706,8,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.00366648837824519,8,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.318257260873017,8,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.199141812098563,8,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.324848754505236,8,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0936740936941731,8,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.423180887655046,8,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0455707328567619,9,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.13414648025166,9,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0398923600817307,9,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.087965078443755,9,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.19719954538299,9,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.136162554248764,9,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.358115113225569,9,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.161895138113173,9,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.203291567113476,9,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.179227493521993,1,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.202845506800379,1,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.190189101878347,1,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.107023268865813,1,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.289698632993343,1,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.206676951723295,1,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.141955984736007,1,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.12164370961518,1,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.206218312877576,1,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.147405124050869,2,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0944259037672699,2,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.193056044095791,2,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.136557675055662,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.313638892184356,2,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.172099466627935,2,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.0241076759470179,2,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.107770277683542,2,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.155639492480245,2,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.1751075504631,3,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.203766679125142,3,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.203467316673176,3,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.228082946993092,3,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.290767554223163,3,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.124314227581456,3,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.0767788859912656,3,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.163508697453447,3,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.130875855368717,3,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0242696348435618,4,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.153226874532812,4,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0725039093775404,4,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.179274108400415,4,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.243950118421711,4,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.0686304427553052,4,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.129643978852913,4,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.236781542923132,4,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0917553514083039,4,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.126791434211195,5,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.121623191388345,5,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.428852206151188,5,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.156144953830889,5,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.252010594860563,5,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.237654056901268,5,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.111223368503886,5,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.725778807357673,5,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.160511677923376,5,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0239673783346184,6,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.190679186643522,6,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.198513863204107,6,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.218226713789205,6,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.28588214968947,6,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.189082806804741,6,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.254204655262433,6,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.1441594759554,6,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.230554643119996,6,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0581752563773327,7,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.438432747183589,7,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.386527642994998,7,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.155629750251562,7,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.0974137562928938,7,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.173605508157807,7,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.201920390285389,7,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.189061888343719,7,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.165529331721786,7,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0927600794511785,8,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0322963157055165,8,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.192654451058362,8,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.15240320031809,8,3,4
0,0,0,0
