size,ROI,position,subject
0,0,0,0
0,0,0,0
9.20120760156342,3,5,7
0,0,0,0
0,0,0,0
0,0,0,0
3.94082172581503,3,5,8
0,0,0,0
0,0,0,0
0,0,0,0
8.2,3,5,9
0,0,0,0
0,0,0,0
0,0,0,0
4.40260013782245,4,5,1
0,0,0,0
0,0,0,0
0,0,0,0
3.1,4,5,2
0,0,0,0
0,0,0,0
0,0,0,0
4.18969657124833,4,5,3
0,0,0,0
0,0,0,0
0,0,0,0
5.69863683366574,4,5,4
0,0,0,0
0,0,0,0
0,0,0,0
7.20074372812042,4,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.29833639858406,4,5,6
0,0,0,0
0,0,0,0
0,0,0,0
7.70146583010442,4,5,7
0,0,0,0
0,0,0,0
0,0,0,0
3.87156694924699,4,5,8
0,0,0,0
0,0,0,0
0,0,0,0
8.3,4,5,9
0,0,0,0
0,0,0,0
0,0,0,0
3.94922209025364,5,5,1
0,0,0,0
0,0,0,0
0,0,0,0
2.5990487398236,5,5,2
0,0,0,0
0,0,0,0
0,0,0,0
8.70384769833403,5,5,3
0,0,0,0
0,0,0,0
0,0,0,0
4.80048475320606,5,5,4
0,0,0,0
0,0,0,0
0,0,0,0
2.59990759204344,5,5,5
0,0,0,0
0,0,0,0
0,0,0,0
2.79889836794408,5,5,6
0,0,0,0
0,0,0,0
0,0,0,0
6.20014245774484,5,5,7
0,0,0,0
0,0,0,0
0,0,0,0
4.45089311584493,5,5,8
0,0,0,0
0,0,0,0
0,0,0,0
8.09943252592027,5,5,9
0,0,0,0
0,0,0,0
0,0,0,0
6.00174474473148,6,5,1
0,0,0,0
0,0,0,0
0,0,0,0
2.2,6,5,2
0,0,0,0
0,0,0,0
0,0,0,0
5.40333891826201,6,5,3
